Dataset_Name,Category,Description,Primary_Format,Access_URL,License_Type
ESP32 Vital Sign Sensor,Medical Devices,Implementation of MAX30102 pulse oximeter with ESP32 for continuous heart rate and SpO2 monitoring,GitHub,https://github.com/esp32/MAX30102,MIT License
STM32 Medical Applications,Medical Devices,STM32 microcontroller use in medical devices: blood pressure monitors, glucose meters, pulse oximeters with BLE connectivity,PDF,https://www.st.com/resource/en/application_note/dm00625325-stm32-based-portable-medical-devices.pdf,ST Microelectronics
Pulse Oximetry Accuracy,Medical Devices,Factors affecting pulse oximeter accuracy: motion artifact, low perfusion, skin pigmentation, nail polish interference,CSV,https://www.fda.gov/medical-devices/pulse-oximetry,Public Domain
BLE Health Device Profile,Medical Devices,Bluetooth Low Energy health device profiles: heart rate, blood pressure, glucose monitoring service specifications,PDF,https://www.bluetooth.com/specifications/specs/,Open Specification
FDA Software as Medical Device,Medical Devices,FDA guidance on Software as a Medical Device (SaMD): risk categorization, quality management, cybersecurity requirements,PDF,https://www.fda.gov/medical-devices/software-medical-device-samd,Public Domain
Vital Sign Monitor Standards,IEEE 11073,IEEE 11073 personal health data exchange standards for medical device interoperability,XML,https://standards.ieee.org/standard/11073-20601-2019.html,IEEE Standard
Edge Computing Healthcare,IoT Healthcare,Edge computing for real-time vital sign processing: latency reduction, bandwidth optimization, privacy preservation,CSV,https://www.nature.com/articles/s41591-019-0122-2,Open Access
Signal Processing Algorithms,Biomedical Engineering,Digital signal processing for vital signs: filtering techniques, motion artifact removal, feature extraction,PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6478924/,Open Access
Medical Device Cybersecurity,NIST Healthcare,Cybersecurity guidelines for connected medical devices: threat modeling, vulnerability management, secure update mechanisms,PDF,https://csrc.nist.gov/publications/detail/sp/800-37/final,NIST Publication
Barcode Medication Administration,Medication Safety,Barcoding systems for patient and medication identification: BCMA implementation, scan verification, error reduction protocols,PDF,https://www.bis.org/publ/bcbs_nt16b.pdf,Public Domain
RFID Patient Tracking,Hospital Operations,RFID implementation for patient tracking: wristband specifications, reader placement, privacy considerations,PDF,https://www.himss.org/resources/barcode-rfid-patient-safety,Educational
Wearable ECG Monitors,Cardiology,Consumer and medical-grade wearable ECG: Apple Watch algorithm accuracy, Kardia validation, single-lead interpretation,PDF,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.119.041948,Open Access
Blood Pressure Cuff Accuracy,Medical Devices,Proper blood pressure measurement: cuff size selection, positioning, validation against mercury sphygmomanometer,PDF,https://www.nobp.org/bp-monitoring-guidance,Public Domain
Continuous Glucose Monitoring,Endocrinology,CGM technology overview: Dexcom, FreeStyle Libre, accuracy metrics (MARD), alarm settings,PDF,https://professional.diabetes.org/guidelines/cgm,Educational
Infrared Thermometry,General Medicine,Infrared temperature measurement: temporal artery, tympanic, infrared forehead thermometer accuracy comparison,PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3501105/,Open Access
