Dataset_Name,Category,Description,Primary_Format,Access_URL,License_Type
Vital Signs Reference Ranges,Clinical Reference,Standard reference ranges for heart rate blood pressure SpO2 temperature respiratory rate across age groups,PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5891444/,Public Domain
Normal Heart Rate Guidelines,Cardiovascular,Guidelines for normal heart rate ranges by age infants 100-160 children 70-120 adults 60-100 elderly with variations,PDF,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.118.034488,Creative Commons
Blood Pressure Classification,Cardiovascular,ACC/AHA blood pressure guidelines Normal <120/<80 Elevated 120-129/<80 Hypertension Stage 1 130-139/80-89 Stage 2 >=140/>=90,PDF,https://www.acc.org/latest-in-cardiology,Open Access
SpO2 Normal Ranges,Pulmonology,Normal oxygen saturation levels 95-100% for healthy adults 93-100% acceptable below 90% requires intervention,CSV,https://www.thoracic.org,Public Domain
Temperature Reference Values,General Medicine,Normal body temperature ranges oral 36.1-37.2C tympanic 36.1-37.6C rectal 36.6-37.9C with variations by time and activity,PDF,https://pubmed.ncbi.nlm.nih.gov/16734185/,Open Access
Glucose Level Guidelines,Endocrinology,Normal blood glucose fasting 70-100 mg/dL postprandial <140 mg/dL HbA1c <5.7% normal 5.7-6.4% prediabetes,PDF,https://diabetes.org/about-diabetes/diagnosis,Public Domain
CHF Monitoring Protocol,Cardiovascular,Continuous monitoring guidelines for congestive heart failure patients including weight monitoring edema assessment medication compliance,PDF,https://www.heart.org/en/health-topics/heart-failure,Public Domain
Arrhythmia Detection Guidelines,Cardiology,Criteria for detecting arrhythmias tachycardia >100 BPM bradycardia <60 BPM atrial fibrillation ventricular tachycardia,PDF,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.108.190027,Open Access
Hypoxia Management,Emergency Medicine,Management of hypoxemia identification SpO2 <94% oxygen therapy initiation target ranges escalation criteria,PDF,https://www.criticalcare.theclinics.com/article/S0749-0704(18)30004-9/,Open Access
Medical Alert Thresholds,Clinical Decision Support,Critical threshold values triggering clinical alerts Heart Rate <50 or >120 BPM SpO2 <90% Temperature >39C or <35C Blood Pressure >180/120 or <90/60 mmHg,PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5891444/,Open Access
ECG Interpretation Guide,Cardiology,12-lead ECG interpretation for clinicians normal intervals common arrhythmias ST-elevation criteria bundle branch blocks,PDF,https://www.acls.com/Articles/Content/ECG-Interpretation.aspx,Educational
Continuous Monitoring Parameters,Telemetry,Guidelines for continuous vital sign monitoring sampling frequency alarm limits artifact rejection trending requirements,CSV,https://www.aami.org,Public Domain
Remote Patient Monitoring,Rural Healthcare,Best practices for remote monitoring data transmission frequency patient engagement alert fatigue reduction,PDF,https://www.cdc.gov/dhdsp/pubs/docs/RPM_Guidance_508.pdf,Public Domain
Wearable Device Standards,Medical Devices,FDA guidelines for wearable vital sign monitors accuracy requirements validation protocols cybersecurity,PDF,https://www.fda.gov/medical-devices,Public Domain
Fall Risk Assessment,Geriatrics,Stratification of fall risk factors intrinsic balance vision medications extrinsic environment assessment tools,PDF,https://www.cdc.gov/steadi/index.html,Public Domain
Sepsis Early Warning,Infectious Disease,Systemic Inflammatory Response Syndrome SIRS criteria temperature >38 or <36C HR >90 RR >20 WBC >12 or <4,CSV,https://www.sccm.org/SurvivingSepsisCampaign,Open Access
Acute Coronary Syndrome Protocol,Emergency Medicine,ACS management STEMI door-to-balloon <90 min NSTEMI risk stratification troponin interpretation,PDF,https://www.acc.org/acs-guidelines,Open Access
Stroke Assessment,Neurology,NIH Stroke Scale components consciousness facial palsy motor strength sensory language neglect,PDF,https://www.stroke.org/en/professionals,Public Domain
Diabetes Management Guidelines,Endocrinology,Diabetes care standards blood glucose targets fasting 80-130 postprandial <180 medication adjustments complications screening,PDF,https://diabetes.org/hypoglycemia,Public Domain
COPD Monitoring,Pulmonology,Chronic obstructive pulmonary disease monitoring FEV1 decline exacerbation frequency dyspnea scores mMRC,PDF,https://goldcopd.org/,Open Access
Asthma Action Plan,Allergy and Immunology,Three-zone asthma action plan green well yellow worsening red emergency with peak flow thresholds,PDF,https://www.aaaai.org,Educational
CHF Pharmacotherapy,Cardiovascular,Heart failure medications ACE inhibitors beta-blockers diuretics aldosterone antagonists with titration protocols,PDF,https://www.heartfailureonline.org/,Open Access
ESP32 Vital Sign Sensor,Medical Devices,Implementation of MAX30102 pulse oximeter with ESP32 for continuous heart rate and SpO2 monitoring,GitHub,https://github.com/esp32/MAX30102,MIT License
STM32 Medical Applications,Medical Devices,STM32 microcontroller use in medical devices blood pressure monitors glucose meters pulse oximeters with BLE connectivity,PDF,https://www.st.com,ST Microelectronics
BLE Health Device Profile,Medical Devices,Bluetooth Low Energy health device profiles heart rate blood pressure glucose monitoring service specifications,PDF,https://www.bluetooth.com/specifications/specs/,Open Specification
Medical Device Cybersecurity,NIST Healthcare,Cybersecurity guidelines for connected medical devices threat modeling vulnerability management secure update mechanisms,PDF,https://csrc.nist.gov,NIST Publication
Barcode Medication Administration,Medication Safety,Barcoding systems for patient and medication identification BCMA implementation scan verification error reduction protocols,PDF,https://www.bis.org,Public Domain
RFID Patient Tracking,Hospital Operations,RFID implementation for patient tracking wristband specifications reader placement privacy considerations,PDF,https://www.himss.org,Educational
Congestive Heart Failure,Cardiovascular,CHF classification NYHA I-IV symptoms ejection fraction thresholds treatment algorithms monitoring requirements,PDF,https://www.acc.org/heart-failure-guidelines,Open Access
Atrial Fibrillation,Cardiovascular,AFib management CHA2DS2-VASc score anticoagulation decisions rate vs rhythm control ablation criteria,PDF,https://www.acc.org/afib-guidelines,Open Access
Hypertension,Cardiovascular,Primary hypertension diagnosis criteria lifestyle modifications medication classes ACEi ARB CCB diuretics,PDF,https://www.nhlbi.nih.gov/health-topics/high-blood-pressure,Public Domain
Diabetes Type 2,Endocrinology,Type 2 diabetes diagnosis HbA1c >=6.5% FPG >=126 OGTT >=200 treatment algorithm cardiovascular risk reduction,CSV,https://diabetes.org/about-diabetes,Public Domain
COPD Exacerbation,Pulmonology,Acute COPD exacerbation triggers severity assessment GOLD criteria antibiotic indications hospitalization decision,PDF,https://goldcopd.org/acute-exacerbation/,Open Access
Pneumonia,Infectious Disease,Pneumonia classification community-acquired vs hospital-acquired severity scores CURB-65 PSI antibiotic selection,CSV,https://www.idsociety.org/pneumonia/,Open Access
Sepsis Recognition,Infectious Disease,Early sepsis recognition SIRS criteria evolution to SOFA qSOFA screening lactate interpretation,PDF,https://www.sccm.org/SurvivingSepsisCampaign/Guidelines,Open Access
Pulmonary Embolism,Cardiovascular,PE diagnosis and management Wells score D-dimer interpretation CTPA indication anticoagulation initiation,PDF,https://www.acr.org,Open Access
Acute Kidney Injury,Nephrology,AKI staging KDIGO criteria creatinine rise urine output contrast-induced prevention nephrotoxic drug review,PDF,https://kdigo.org/guidelines/aci,Open Access
Stroke Types,Neurology,Ischemic vs hemorrhagic stroke differentiation clinical presentation imaging criteria thrombolysis windows,PDF,https://www.stroke.org/en/professionals,Public Domain
Tachycardia Thresholds,Cardiovascular,Heart rate thresholds requiring intervention >100 BPM sustained >120 BPM with symptoms >150 BPM potentially dangerous,PDF,https://www.emergency-care-institute.org/pocus/tachycardia/,Public Domain
Bradycardia Management,Cardiovascular,Bradycardia management <60 BPM symptomatic <50 BPM with symptoms pacemaker consideration below 40 BPM,PDF,https://www.escardio.org/guidelines/clinical-guidelines,Open Access
Hypoglycemia Protocol,Endocrinology,Emergency protocols for hypoglycemia <70 mg/dL with symptoms glucose administration glucagon protocols,PDF,https://www.nejm.org/doi/full/10.1056/NEJMcp1800196,Open Access
Fever Management,Infectious Disease,Temperature thresholds 38C fever 39C severe 40C hyperpyrexia requiring urgent care,PDF,https://www.idsociety.org,Open Access
Respiratory Rate Standards,Pulmonology,Normal respiratory rates neonates 30-60 infants 20-30 children 12-20 adults 12-20 elderly 12-28,CSV,https://www.nursingtimes.net,Creative Commons
Wearable ECG Monitors,Cardiology,Consumer and medical-grade wearable ECG Apple Watch algorithm accuracy Kardia validation single-lead interpretation,PDF,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.119.041948,Open Access
Blood Pressure Cuff Accuracy,Medical Devices,Proper blood pressure measurement cuff size selection positioning validation against mercury sphygmomanometer,PDF,https://www.nobp.org/bp-monitoring-guidance,Public Domain
Continuous Glucose Monitoring,Endocrinology,CGM technology overview Dexcom FreeStyle Libre accuracy metrics MARD alarm settings,PDF,https://professional.diabetes.org/guidelines/cgm,Educational
Infrared Thermometry,General Medicine,Infrared temperature measurement temporal artery tympanic forehead thermometer accuracy comparison,PDF,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3501105/,Open Access
